age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
62,M,1262,En Couple,1,false,6290 DM 24
68,M,514,En Couple,2,false,7530 VH 52
26,F,181,En Couple,4,true,7168 HX 32
34,M,829,Célibataire,0,false,1539 UR 49
50,M,1169,En Couple,4,false,4738 YG 76
53,M,156,En Couple,2,false,5176 NX 17
32,F,566,Célibataire,0,false,8958 OW 94
30,M,465,En Couple,2,true,1268 FW 51
20,M,450,En Couple,0,true,3531 MD 12
74,M,426,En Couple,2,false,8777 ZT 53
68,M,569,En Couple,0,false,3599 TZ 74
37,M,438,Célibataire,0,false,9800 YU 15
62,F,590,Seule,2,false,7063 FR 43
78,M,554,Célibataire,0,false,6387 AU 68
30,M,476,En Couple,4,false,1039 KA 86
18,F,918,En Couple,2,false,1970 AS 49
51,M,499,En Couple,0,true,6053 HT 37
44,F,410,En Couple,4,false,26 OY 13
31,M,400,Célibataire,0,false,1162 KC 67
27,F,770,En Couple,1,true,7911 CR 82
36,M,594,En Couple,2,true,5680 FF 93
82,M,150,En Couple,0,false,4211 QE 35
47,F,489,En Couple,2,true,3628 ZS 31
44,M,192,En Couple,4,false,9196 IX 26
21,M,413,En Couple,0,false,7845 GW 33
50,M,985,En Couple,2,false,1329 JG 57
39,M,517,Célibataire,0,false,7859 TS 17
79,M,400,Célibataire,0,false,277 WM 77
65,M,521,Célibataire,0,false,3808 CK 16
46,F,951,Célibataire,0,false,2138 KS 41
18,F,206,Célibataire,0,false,4762 AU 76
26,Féminin,537,Célibataire,0,false,1783 BG 23
58,F,1162,En Couple,0,false,7790 CQ 42
26,M,597,En Couple,4,false,7170 YA 89
21,F,934,Célibataire,0,false,7310 XQ 40
25,Homme,502,En Couple,2,false,7734 DE 51
45,M,541,Célibataire,0,false,2076 GE 47
40,M,538,Célibataire,0,false,7262 AF 21
34,M,818,En Couple,4,true,5020 GJ 60
82,M,230,En Couple,4,false,2231 DM 28
39,M,1018,Célibataire,0,false,3573 OE 91
62,F,739,En Couple,4,false,818 CS 76
20,M,519,En Couple,1,false,8560 YY 72
28,F,157,En Couple,4,false,8686 YV 11
56,Masculin,494,En Couple,3,false,2311 HI 59
48,M,1105,En Couple,1,false,7970 BK 12
19,M,1106,En Couple,2,false,6903 KB 18
49,M,405,En Couple,0,false,8033 IR 64
55,M,200,Célibataire,0,false,4462 SQ 23
77,F,583,En Couple,2,false,9059 ZT 15
18,M,581,En Couple,3,true,5884 SM 71
33,M,531,Célibataire,0,false,7970 LD 62
25,M,414,En Couple,0,true,6790 UN 46
43,F,508,Célibataire,0,false,7657 MB 45
53,F,506,Célibataire,0,false,1470 TO 55
27,M,415,En Couple,1,false,6231 KI 34
71,M,1185,Seule,2,false,6940 GS 36
40,M,464,En Couple,3,false,6570 QT 85
49,F,231,En Couple,2,true,9479 GK 32
45,M,1332,En Couple,2,false,676 JB 50
18,M,466,Célibataire,0,false,5580 AL 38
48,M,190,En Couple,4,false,1433 NQ 85
22,F,507,En Couple,1,false,1238 JX 75
25,M,482,En Couple,0,true,2910 QE 62
53,M,218,Célibataire,0,false,1107 NT 28
26,F,554,En Couple,2,true,3243 MT 69
20,M,797,En Couple,1,false,4261 KU 25
45,M,1357,Seule,2,false,6410 WI 13
18,F,186,En Couple,0,false,9342 PU 59
77,M,597,Célibataire,0,false,4245 JG 50
29,F,967,Célibataire,0,false,3042 SL 64
37,M,1070,En Couple,4,true,6731 PB 16
84,M,503,Célibataire,0,false,8040 VV 22
33,F,445,En Couple,2,false,1274 FQ 46
75,M,238,Célibataire,0,false,1433 DH 23
32,M,1387,En Couple,3,false,4854 FT 52
52,M,458,En Couple,2,false,3055 PC 32
34,F,454,En Couple,1,false,2129 KU 77
27,M,514,En Couple,2,true,3767 UD 41
38,F,1158,Célibataire,0,false,6576 GK 72
21,M,152,En Couple,3,false,3455 FQ 91
81,F,718,En Couple,0,false,3324 DA 87
28,M,172,En Couple,3,false,9928 DF 11
77,M,419,Célibataire,0,false,6365 NF 96
55,F,456,En Couple,1,false,7780 BB 12
23,M,928,En Couple,1,false,7584 NR 74
80,M,402,En Couple,3,?,5784 BI 15
20,M,904,Seule,1,false,1362 DG 38
31,M,818,En Couple,2,true,4091 ZH 67
58,M,446,En Couple,4,true,4083 NK 91
63,M,776,En Couple,1,true,2501 OM 63
23,M,494,En Couple,1,false,5636 SA 59
48,F,472,Seul,0,false,6176 CO 38
28,M,540,Célibataire,0,false,8888 NK 48
30,M,1096,En Couple,3,false,7146 PX 29
59,F,1206,En Couple,0,false,9494 MP 71
19,M,167,En Couple,4,true,2161 XN 42
21,M,506,Célibataire,0,false,4804 WB 16
66,F,562,Seule,2,false,3460 RL 95
38,M,557,En Couple,2,false,4973 EV 33
20,M,483,Célibataire,0,false,5112 SY 82
51,M,565,En Couple,2,false,9068 OB 31
28,F,514,En Couple,3,false,4320 GL 11
25,M,547,En Couple,3,false,5886 UI 83
61,M,185,En Couple,1,false,3588 QR 62
46,M,234,Marié(e),1,false,9220 MY 38
60,M,406,En Couple,3,false,4699 UB 89
81,M,914,En Couple,0,false,7950 EB 69
72,M,551,En Couple,4,false,8384 TU 70
51,M,239,En Couple,1,false,2464 CR 51
50,M,548,Célibataire,0,false,5903 NL 44
25,M,546,En Couple,0,false,400 HE 15
31,M,465,En Couple,4,false,6888 NR 65
36,F,802,En Couple,0,true,3621 KL 32
57,F,531,En Couple,4,false,4299 UK 61
25,M,416,Célibataire,0,false,2537 LA 59
79,M,213,En Couple,4,false,8411 RA 67
47,M,545,Seule,2,false,824 CD 50
40,M,1055,Célibataire,0,false,4411 ON 22
68,M,1072,En Couple,2,false,319 QF 73
26,M,524,Célibataire,0,false,6787 KA 15
20,M,460,En Couple,4,false,2669 NT 27
50,F,448,Célibataire,0,false,4267 SX 40
29,M,439,Célibataire,0,false,1092 FK 97
31,M,508,En Couple,2,false,1565 BW 76
55,M,578,En Couple,1,false,3592 LH 78
36,M,911,En Couple,0,false,1751 VR 83
27,M,557,En Couple,4,false,8702 MA 89
32,M,409,En Couple,3,false,8598 ZD 48
35,M,441,Célibataire,0,false,5710 TF 54
51,M,553,Célibataire,0,false,4604 XX 43
51,M,412,En Couple,1,false,770 RC 53
47,F,451,En Couple, ,false,4363 CW 21
59,M,217,Seule,3,false,3828 BS 26
57,F,542,Seule,1,false,9127 DB 20
84,M,478,Célibataire,0,false,435 ZE 43
55,M,198,En Couple,0,false,1688 ZU 91
37,F,512,En Couple,3,true,9902 YT 91
23,M,1313,En Couple,2,false,981 UJ 75
20,M,240,Seule,2,false,662 TE 93
50,F,1314,Marié(e),1,false,7881 ST 87
45,M,915,Célibataire,0,false,8448 BJ 19
37,F,841,En Couple,4,true,7920 IP 77
20,M,548,En Couple,0,false,2384 CA 86
26,M,1219,Célibataire,0,false,6523 KW 25
19,M,967,En Couple,3,false,2767 VE 79
81,M,200,En Couple,2,false,503 WD 30
48,M,768,En Couple,1,false,3958 SA 94
84,M,419,En Couple,1,true,6554 BO 20
19,F,243,En Couple,4,false,9632 JO 10
48,M,1158,Célibataire,0,false,2294 IK 34
74,F,430,En Couple,1,false,1131 LL 62
25,M,185,En Couple,1,false,2691 OG 86
28,M,460,Célibataire,0,false,8039 NZ 94
26,M,531,En Couple,3,false,1209 PZ 20
30,F,511,En Couple,0,false,8709 VO 14
34,M,?,En Couple,1,false,8034 GS 81
67,M,172,En Couple,1,false,5832 MU 17
29,Masculin,840,En Couple,2,false,6300 SO 70
20,M,488,En Couple,3,false,5879 PF 93
63,M,400,En Couple,0,false,389 AL 23
73,M,1352,En Couple,0,false,5400 YY 60
61,M,425,En Couple,2,true,1421 DZ 88
